,FIR A,FIR B,FIR C,FIR D
0,0.00186751974604482,0.00186751974604482,0.00186751974604482,0.0053473338479439
1,0.002275293677911463,0.002275293677911463,0.002275293677911463,0.004546014530102697
2,0.002692845467883248,0.002692845467883248,0.002692845467883248,0.003592883372736597
3,0.003119400211540369,0.003119400211540369,0.003119400211540369,0.00250378990674542
4,0.003554151391578438,0.003554151391578438,0.003554151391578438,0.001298414615133528
5,0.003996262853518041,0.003996262853518041,0.003996262853518041,-2e-18
6,0.004444870878876082,0.004444870878876082,0.004444870878876082,-0.00136499998001216
7,0.004899086349965267,0.004899086349965267,0.004899086349965267,-0.002767346739034415
8,0.005357997000181999,0.005357997000181999,0.005357997000181999,-0.004175513108856049
9,0.00582066974335583,0.00582066974335583,0.00582066974335583,-0.005556239981236629
10,0.006286153075466025,0.006286153075466025,0.006286153075466025,-0.006875143518785017
11,0.006753479541784039,0.006753479541784039,0.006753479541784039,-0.008097361682795132
12,0.007221668262275161,0.007221668262275161,0.007221668262275161,-0.009188227819777817
13,0.007689727507889525,0.007689727507889525,0.007689727507889525,-0.010113958281703432
14,0.008156657320192495,0.008156657320192495,0.008156657320192495,-0.010842340547161138
15,0.008621452166627776,0.008621452166627776,0.008621452166627776,-0.011343408075448463
16,0.00908310362357427,0.00908310362357427,0.00908310362357427,-0.011590088171103284
17,0.009540603079249766,0.009540603079249766,0.009540603079249766,-0.01155880946480392
18,0.009992944448431896,0.009992944448431896,0.009992944448431896,-0.011230056224172886
19,0.010439126890909214,0.010439126890909214,0.010439126890909214,-0.01058885758519364
20,0.010878157525543523,0.010878157525543523,0.010878157525543523,-0.009625200926299022
21,0.011309054131818317,0.011309054131818317,0.011309054131818317,-0.008334359971854942
22,0.011730847830767882,0.011730847830767882,0.011730847830767882,-0.006717129783811907
23,0.01214258573722698,0.01214258573722698,0.01214258573722698,-0.004779962549241264
24,0.012543333575412086,0.012543333575412086,0.012543333575412086,-0.002534999962879733
25,0.012932178249941664,0.012932178249941664,0.012932178249941664,2e-18
26,0.013308230364524597,0.013308230364524597,0.013308230364524597,0.002801842064235499
27,0.013670626680692492,0.013670626680692492,0.013670626680692492,0.005842176449072653
28,0.014018532509122373,0.014018532509122373,0.014018532509122373,0.009087881472216095
29,0.014351144026291085,0.014351144026291085,0.014351144026291085,0.012501539957782411
30,0.014667690509420725,0.014667690509420725,0.014667690509420725,0.016042001543831706
31,0.01496743648291499,0.01496743648291499,0.01496743648291499,0.019665021229645332
32,0.015249683769748768,0.015249683769748768,0.015249683769748768,0.023323962927128305
33,0.015513773441556675,0.015513773441556675,0.015513773441556675,0.026970555417875814
34,0.015759087661469738,0.015759087661469738,0.015759087661469738,0.030555686996545022
35,0.015985051414072162,0.015985051414072162,0.015985051414072162,0.03403022422634539
36,0.016191134117190663,0.016191134117190663,0.016191134117190663,0.037345839662443925
37,0.016376851110586923,0.016376851110586923,0.016376851110586923,0.04045583312681373
38,0.016541765016997088,0.016541765016997088,0.016541765016997088,0.043315931150381126
39,0.016685486971350718,0.016685486971350718,0.016685486971350718,0.045885049535839106
40,0.01680767771440337,0.01680767771440337,0.01680767771440337,0.048126004631495106
41,0.01690804854743084,0.01690804854743084,0.01690804854743084,0.05000615983112964
42,0.01698636214505782,0.01698636214505782,0.01698636214505782,0.05149799500922458
43,0.017042433223728004,0.017042433223728004,0.017042433223728004,0.05257958804165386
44,0.017076129063764694,0.017076129063764694,0.017076129063764694,0.05323499922047445
45,0.017087369883420026,0.017087369883420026,0.017087369883420026,0.05345455121475003
46,0.017076129063764694,0.017076129063764694,0.017076129063764694,0.05323499922047445
47,0.017042433223728004,0.017042433223728004,0.017042433223728004,0.05257958804165386
48,0.01698636214505782,0.01698636214505782,0.01698636214505782,0.05149799500922458
49,0.01690804854743084,0.01690804854743084,0.01690804854743084,0.05000615983112964
50,0.01680767771440337,0.01680767771440337,0.01680767771440337,0.048126004631495106
51,0.016685486971350718,0.016685486971350718,0.016685486971350718,0.045885049535839106
52,0.016541765016997088,0.016541765016997088,0.016541765016997088,0.043315931150381126
53,0.016376851110586923,0.016376851110586923,0.016376851110586923,0.04045583312681373
54,0.016191134117190663,0.016191134117190663,0.016191134117190663,0.037345839662443925
55,0.015985051414072162,0.015985051414072162,0.015985051414072162,0.03403022422634539
56,0.015759087661469738,0.015759087661469738,0.015759087661469738,0.030555686996545022
57,0.015513773441556675,0.015513773441556675,0.015513773441556675,0.026970555417875814
58,0.015249683769748768,0.015249683769748768,0.015249683769748768,0.023323962927128305
59,0.01496743648291499,0.01496743648291499,0.01496743648291499,0.019665021229645332
60,0.014667690509420725,0.014667690509420725,0.014667690509420725,0.016042001543831706
61,0.014351144026291085,0.014351144026291085,0.014351144026291085,0.012501539957782411
62,0.014018532509122373,0.014018532509122373,0.014018532509122373,0.009087881472216095
63,0.013670626680692492,0.013670626680692492,0.013670626680692492,0.005842176449072653
64,0.013308230364524597,0.013308230364524597,0.013308230364524597,0.002801842064235499
65,0.012932178249941664,0.012932178249941664,0.012932178249941664,2e-18
66,0.012543333575412086,0.012543333575412086,0.012543333575412086,-0.002534999962879733
67,0.01214258573722698,0.01214258573722698,0.01214258573722698,-0.004779962549241264
68,0.011730847830767882,0.011730847830767882,0.011730847830767882,-0.006717129783811907
69,0.011309054131818317,0.011309054131818317,0.011309054131818317,-0.008334359971854942
70,0.010878157525543523,0.010878157525543523,0.010878157525543523,-0.009625200926299022
